Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Training Stress Scoreå¨,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,6/6/20 9:14,FALSE,Washington Running,3.01,261,0:26:53,152,176,162,175,8:56,7:54,176,178,1.12,0,0,--,0,0,0,0:00,0,0:00,No,00:06.1,4,0
Running,5/30/20 11:41,FALSE,Washington Running,4.58,428,0:43:00,157,174,168,185,9:23,6:38,237,241,1.02,0,0,--,0,0,0,0:00,0,0:00,No,05:15.8,5,0
Running,5/29/20 19:29,FALSE,Washington Running,4.11,343,0:34:20,160,188,168,197,8:21,6:17,92,101,1.14,0,0,--,0,0,0,0:00,0,0:00,No,01:12.8,5,0
Running,5/25/20 13:47,FALSE,Washington Running,7.53,732,1:20:09,154,176,155,249,10:39,3:53,486,545,0.98,0,0,--,0,0,0,0:00,0,0:00,No,05:00.1,8,0
Running,5/22/20 16:55,FALSE,Washington Running,3.44,293,0:30:31,157,185,160,185,8:52,3:39,167,180,1.13,0,0,--,0,0,0,0:00,0,0:00,No,03:57.7,4,0
Running,5/20/20 17:50,FALSE,Washington Running,2.05,86,0:15:37,116,146,168,181,7:38,4:50,78,86,1.25,0,0,--,0,0,0,0:00,0,0:00,No,00:20.7,3,0
Running,5/16/20 11:47,FALSE,Washington Running,6.02,659,1:03:42,168,188,154,240,10:35,5:38,510,508,0.98,0,0,--,0,0,0,0:00,0,0:00,No,00:09.7,7,0
Running,5/14/20 19:44,FALSE,Washington Running,3.55,291,0:28:50,164,188,162,177,8:08,5:28,150,148,1.22,0,0,--,0,0,0,0:00,0,0:00,No,03:29.0,4,0
Running,5/10/20 15:12,FALSE,Washington Running,3.92,325,0:33:09,165,186,164,180,8:28,7:20,164,164,1.16,0,0,--,0,0,0,0:00,0,0:00,No,07:21.4,4,0
Running,5/4/20 17:35,FALSE,Shenandoah County Running,1.65,171,0:16:31,174,188,153,172,10:02,2:02,33,26,1.05,0,0,--,0,0,0,0:00,0,0:00,No,06:03.4,2,0
Running,4/20/20 17:53,FALSE,Washington Running,2.84,233,0:24:14,162,189,163,184,8:32,7:21,129,138,1.16,0,0,--,0,0,0,0:00,0,0:00,No,07:15.8,3,0
Running,4/18/20 14:04,FALSE,Washington Running,4.79,409,0:42:53,165,182,164,181,8:57,6:54,138,139,1.1,0,0,--,0,0,0,0:00,0,0:00,No,06:42.3,5,0
Running,4/13/20 18:25,FALSE,Washington Running,2.03,148,0:15:13,172,192,168,184,7:30,6:13,75,88,1.28,0,0,--,0,0,0,0:00,0,0:00,No,00:14.2,3,0
Running,4/12/20 12:30,FALSE,Montgomery County Running,2.62,259,1:07:01,105,170,81,126,25:36:00,16:14,42,34,0.78,0,0,--,0,0,0,0:00,0,0:00,No,16:03.5,3,0
Running,4/5/20 16:31,FALSE,Washington Running,3.33,319,0:34:43,162,190,159,183,10:25,8:00,115,117,0.97,0,0,--,0,0,0,0:00,0,0:00,No,02:54.6,4,0
Running,3/21/20 11:30,FALSE,Montgomery County Running,4.1,216,1:43:59,83,126,87,159,25:21:00,8:38,409,351,0.73,0,0,--,0,0,0,0:00,0,0:00,No,02:34.0,5,0
Running,3/19/20 16:45,FALSE,Washington Running,4.09,388,0:36:52,180,203,164,177,9:01,8:09,168,169,1.09,0,0,--,0,0,0,0:00,0,0:00,No,00:46.7,5,0
Running,3/13/20 18:50,FALSE,Washington Running,3.18,302,0:35:16,155,186,160,177,11:05,4:19,134,122,0.91,0,0,--,0,0,0,0:00,0,0:00,No,01:40.6,4,0
Running,3/8/20 14:55,FALSE,Montgomery County Running,1.88,133,0:53:57,88,126,73,157,28:45:00,9:45,191,177,0.77,0,0,--,0,0,0,0:00,0,0:00,No,21:22.4,2,0
Running,2/16/20 13:50,FALSE,Montgomery County Running,2.86,162,1:25:35,80,124,72,158,29:56:00,12:08,295,279,0.76,0,0,--,0,0,0,0:00,0,0:00,No,00:10.5,4,0
Running,2/15/20 12:06,FALSE,Running,2.4,179,0:20:24,153,170,172,196,8:30,7:22,--,--,1.1,0,0,--,0,0,0,0:00,0,0:00,No,03:31.3,3,0
Running,2/9/20 13:34,FALSE,Washington Running,7.09,770,1:00:37,--,--,163,187,8:33,6:06,192,204,1.15,0,0,--,0,0,0,0:00,0,0:00,No,00:42.5,8,0
Running,2/3/20 19:28,FALSE,Running,2.04,161,0:18:17,153,181,162,175,8:57,7:45,--,--,1.11,0,0,--,0,0,0,0:00,0,0:00,No,00:20.4,3,0
Running,1/26/20 15:30,FALSE,Washington Running,3.2,135,0:25:54,120,165,167,179,8:05,6:59,147,151,1.19,0,0,--,0,0,0,0:00,0,0:00,No,01:38.7,4,0
Running,1/25/20 15:19,FALSE,Washington Running,5.5,308,0:46:41,140,182,166,195,8:29,6:11,244,246,1.14,0,0,--,0,0,0,0:00,0,0:00,No,04:17.4,6,0
Running,1/19/20 16:42,FALSE,Washington Running,4.25,347,0:40:42,162,187,169,183,9:35,6:47,125,142,1,0,0,--,0,0,0,0:00,0,0:00,No,02:11.5,5,0
Running,1/14/20 19:23,FALSE,Washington Running,2.79,157,0:28:27,123,176,155,175,10:11,5:53,142,152,1.01,0,0,--,0,0,0,0:00,0,0:00,No,06:09.8,3,0
Running,1/11/20 12:58,FALSE,Washington Running,3.75,306,0:33:41,170,189,161,176,8:59,4:01,105,111,1.11,0,0,--,0,0,0,0:00,0,0:00,No,06:29.2,4,0
Running,1/4/20 16:23,FALSE,Washington Running,1.84,169,0:21:09,155,178,160,168,11:31,4:30,16,79,0.88,0,0,--,0,0,0,0:00,0,0:00,No,00:02.5,3,0
Running,12/23/19 17:39,FALSE,Los Altos Running,3.02,251,0:26:37,150,188,161,173,8:48,7:54,59,60,1.14,0,0,--,0,0,0,0:00,0,0:00,No,00:12.2,4,0
Running,11/28/19 13:28,FALSE,Washington Running,2.38,266,0:26:13,--,--,161,173,11:02,9:15,79,96,0.91,0,0,--,0,0,0,0:00,0,0:00,No,01:38.3,4,0
Running,9/1/19 12:43,FALSE,Washington Running,4.36,390,0:38:24,159,181,164,179,8:49,5:40,146,150,1.11,0,0,--,0,0,0,0:00,0,0:00,No,02:56.8,5,0
Running,8/30/19 18:52,FALSE,Washington Running,3.61,388,0:31:39,--,--,160,177,8:46,7:26,156,164,1.14,0,0,--,0,0,0,0:00,0,0:00,No,05:27.1,4,0
Running,8/27/19 18:24,FALSE,Washington Running,0.15,207,0:25:41,139,213,--,120,--,2:57,--,--,60.3,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,1,0
Running,8/20/19 18:09,FALSE,Atlanta Running,4.05,384,0:34:42,170,190,162,214,8:35,4:02,165,159,1.16,0,0,--,0,0,0,0:00,0,0:00,No,00:27.0,5,0
Running,8/8/19 8:52,FALSE,Harrington Running,4.18,421,0:47:51,147,188,152,241,11:26,7:47,386,387,0.93,0,0,--,0,0,0,0:00,0,0:00,No,01:53.1,5,0
Running,8/7/19 10:20,FALSE,Mt Desert Running,5.01,760,2:56:18,110,154,67,159,35:09:00,0:33,"1,333","1,314",0.68,0,0,--,0,0,0,0:00,0,0:00,No,00:19.9,6,0
Running,8/6/19 8:52,FALSE,Harrington Running,3.35,204,1:03:22,92,121,25,130,18:55,12:02,--,--,3.59,0,0,--,0,0,0,0:00,0,0:00,No,08:15.4,4,0
Running,7/4/19 21:04,FALSE,Toronto Running,5.53,127,0:35:33,96,127,11,123,6:26,0:51,--,10,25.66,0,0,--,0,0,0,0:00,0,0:00,No,03:52.0,6,0
Running,7/4/19 18:27,FALSE,Toronto Running,2.41,303,1:42:37,88,124,21,150,42:39:00,4:06,--,--,1.88,0,0,--,0,0,0,0:00,0,0:00,No,11:38.9,3,0
Running,7/1/19 9:42,FALSE,Mead Running,0.81,64,0:20:18,89,113,28,126,25:08:00,17:38,--,3,2.29,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,1,0
Running,6/30/19 16:39,FALSE,Mead Running,1.27,107,0:31:47,93,118,42,126,25:03:00,17:19,2,5,1.57,0,0,--,0,0,0,0:00,0,0:00,No,05:55.5,2,0
Running,6/30/19 12:18,FALSE,Mead Running,0.55,63,0:16:59,95,115,38,133,30:39:00,16:04,--,--,1.37,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,1,0
Running,6/23/19 10:14,FALSE,Arlington County Running,2,219,1:05:09,93,131,24,133,32:33:00,3:41,8,10,2.13,0,0,--,0,0,0,0:00,0,0:00,No,00:03.2,3,0
Running,6/16/19 11:10,FALSE,Washington Running,4.41,447,0:41:42,158,178,163,177,9:27,5:21,145,317,1.04,0,0,--,0,0,0,0:00,0,0:00,No,03:51.2,5,0
Running,6/3/19 19:04,FALSE,Washington Running,2.38,201,0:17:56,165,184,171,185,7:32,6:36,70,86,1.25,0,0,--,0,0,0,0:00,0,0:00,No,03:04.0,3,0
Running,6/1/19 7:56,FALSE,Harpers Ferry Running,6.46,654,3:02:10,98,149,80,166,28:10:00,4:09,"1,765","1,778",0.72,0,0,--,0,0,0,0:00,0,0:00,No,13:03.4,7,0
Running,5/29/19 20:10,FALSE,Washington Running,3.04,280,0:25:58,162,182,163,177,8:32,4:49,149,160,1.16,0,0,--,0,0,0,0:00,0,0:00,No,00:23.3,4,0
Running,5/27/19 17:32,FALSE,Washington Running,3.03,288,0:26:33,163,181,163,177,8:45,6:29,93,110,1.13,0,0,--,0,0,0,0:00,0,0:00,No,00:20.5,4,0
Running,4/7/19 7:44,FALSE,Washington Running,10.06,942,1:31:34,159,196,170,195,9:06,6:03,70,84,1.04,0,0,--,0,0,0,0:00,0,0:00,No,00:16.2,11,0
Running,4/3/19 19:07,FALSE,Washington Running,4.16,314,0:35:40,144,174,168,184,8:34,7:32,162,169,1.12,0,0,--,0,0,0,0:00,0,0:00,No,01:19.1,5,0
Running,3/31/19 11:45,FALSE,Washington Running,6.04,506,0:57:21,148,178,164,176,9:30,6:29,502,508,1.03,0,0,--,0,0,0,0:00,0,0:00,No,00:17.7,8,0
Running,3/25/19 18:37,FALSE,Washington Running,2.29,219,0:23:20,154,198,164,172,10:12,9:01,82,83,0.96,0,0,--,0,0,0,0:00,0,0:00,No,02:59.2,3,0
Running,3/12/19 12:03,FALSE,Routt County - Running,1.4,239,0:58:32,104,142,66,159,41:47:00,13:04,293,260,0.58,0,0,--,0,0,0,0:00,0,0:00,No,12:23.4,2,0
Running,3/9/19 11:46,FALSE,Denver - Running,3.01,295,0:33:08,143,165,165,187,11:01,6:29,30,32,0.89,0,0,--,0,0,0,0:00,0,0:00,No,00:02.7,4,0
Running,2/15/19 19:23,FALSE,Washington Running,3.22,275,0:26:57,157,181,173,196,8:22,5:44,89,98,1.11,0,0,--,0,0,0,0:00,0,0:00,No,07:58.6,4,0
Running,2/5/19 18:52,FALSE,Washington Running,3.44,293,0:31:17,148,171,165,180,9:05,7:33,184,173,1.07,0,0,--,0,0,0,0:00,0,0:00,No,08:52.0,4,0
Running,11/25/18 13:51,FALSE,Montgomery County Running,3.2,249,0:35:28,126,156,160,200,11:04,5:59,19,19,0.91,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,4,0
Running,11/9/18 10:43,FALSE,Mantoloking Running,3.16,190,0:25:32,135,169,175,204,8:04,4:25,--,3,1.14,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,4,0
Running,11/4/18 10:28,FALSE,Page County Running,9.25,896,3:50:13,101,172,89,235,24:53:00,7:53,"1,607","1,571",0.72,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,10,0
Running,10/28/18 7:58,FALSE,Washington Running,6.43,511,1:02:13,140,202,170,189,9:41,2:07,136,90,0.97,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,7,0
Running,10/13/18 11:27,FALSE,Washington Running,5.11,464,0:43:58,162,180,174,185,8:37,6:08,161,177,1.08,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,6,0
Running,10/8/18 11:46,FALSE,Contra Costa County Running,3.28,338,0:39:12,141,181,156,176,11:57,6:41,482,444,0.86,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,4,0
Running,10/7/18 17:37,FALSE,Contra Costa County Running,1.86,217,0:24:29,140,174,140,238,13:09,4:48,327,273,0.87,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,2,0
